FileName,Note,Scene,Category,Month,Season,Time,Reference,Duration,FilePath
SERRA_20250503_153307.wav,Cicada Spaced Out,Sand Forrest (Location A),Bat / Cicada,May,Wet To Dry,08 AM - 4PM,Ultrasonic,0:04,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_153307.wav
SERRA_20250503_153021.wav,Cicada Groove,Sand Forrest (Location A),Bat / Cicada,May ,Wet To Dry,08 AM - 4PM,Ultrasonic,0:07,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_153021.wav
SERRA_20250503_153031.wav,Cicada Groove,Sand Forrest (Location A),Bat / Cicada,May,Wet To Dry,08 AM - 4PM,Ultrasonic,0:03,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_153031.wav
SERRA_20250503_154212.wav,Bat Spaced Out /  Cicada Sparse,Sand Forrest (Location A),Bat,May,Wet To Dry,08 AM - 4PM,Ultrasonic,0:03,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_154212.wav
SERRA_20250503_162545.wav,Bat Spaced Out / Cicada Sparse,Sand Forrest (Location A),Bat,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:04,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_162545.wav
SERRA_20250503_170259.wav,Bat Sparse,Sand Forrest (Location A),Bat,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:05,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_170259.wav
SERRA_20250503_171323.wav,,Sand Forrest (Location A),Blip / Bat / Cicada,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:04,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_171323.wav
SERRA_20250503_171548.wav,Blips Sparse,Sand Forrest (Location A),Blip,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:03,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_171548.wav
SERRA_20250503_174208.wav,Blips Sparse,Sand Forrest (Location A),Blip,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:05,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_174208.wav
SERRA_20250503_174216.wav,Blips Far,Sand Forrest (Location A),Blip,May,Wet To Dry,4PM - 11:59PM,Ultrasonic,0:10,/home/s.kamboj.400/unzipped-music/mount/Location A (Sand Forrest)/LA_Sand_Forrest_ULTRASONIC_03-05-25/SERRA_20250503_174216.wav
